"title","year","length","rating","genre"
"$1000 a Touchdown","1939","71","6","Comedy"
"$21 a Day Once a Month","1941","7","8.2","Animation"
"$40,000","1996","70","8.2","Comedy"
"$pent","2000","91","4.3","Drama"
"$windle","2002","93","5.3","Action"
"'15'","2002","25","6.7","Documentary"
"'38","1987","97","6.6","Drama"
"'68","1988","99","5.4","Drama"
"'?' Motorist, The","1906","10","7","Comedy"
"'A'","1965","10","6.7","Short"
"'A' gai waak","1983","106","7.1","Action"
"'A' gai waak juk jaap","1987","101","7.2","Action"
"'Breaker' Morant","1980","107","7.9","Drama"
"'Bullitt': Steve McQueen's Commitment to Reality","1968","10","6.6","Documentary"
"'Crocodile' Dundee II","1988","110","5","Action"
"'E'","1981","7","8.6","Animation"
"'El Chicko' - der Verdacht","1995","90","3.9","Comedy"
"'G' Men","1935","85","7.2","Drama"
"'Gator Bait","1974","88","3.5","Action"
"'High Sign', The","1921","18","7.8","Comedy"
"'Hyp-Nut-Tist', The","1935","6","6.2","Animation"
"'I Know Where I'm Going!'","1945","92","7.7","Drama"
"'Java Madness' formerly titled 'Coffee Madness'","1995","7","6.8","Comedy"
"'Je vous salue, Marie'","1985","105","6.4","Drama"
"'Kaash'","1987","140","5.9","Drama"
"'M' Word","1996","99","4.6","Comedy"
"'Mad' Boy, I'll Blow Your Blues Away. Be Mine","1997","19","7.3","Short"
"'Merci la vie'","1991","117","7.2","Drama"
"'Neath Brooklyn Bridge","1942","61","6.1","Comedy"
"'Neath Canadian Skies","1946","41","5.4","Short"
"'Night, Mother","1986","96","6.8","Drama"
"'O re","1989","90","3.9","Comedy"
"'Pimpernel' Smith","1941","120","7.2","Drama"
"'R Xmas","2001","83","4.9","Drama"
"'Round Midnight","1986","133","7.3","Drama"
"'Sheba, Baby'","1975","90","5.5","Action"
"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet","1951","15","5.3","Short"
"'Teddy' Bears, The","1907","15","5.8","Animation"
"'Til There Was You","1997","113","4.8","Comedy"
"'Til We Meet Again","1940","99","6.3","Drama"
"'What's Your 'I.Q.'?' Number Two","1940","9","5.9","Documentary"
"'burbs, The","1989","101","6","Comedy"
"(A)Torzija","2002","13","7.2","Drama"
"(Entre nous)","2002","82","4.8","Drama"
"(Haru)","1996","118","6.6","Drama"
"(Paris: XY)","2001","80","1.4","Drama"
"(T)Raumschiff Surprise - Periode 1","2004","87","5.6","Comedy"
"*Corpus Callosum","2002","92","4.9","Drama"
"*batteries not included","1987","106","5.7","Comedy"
"1.0 -1","1987","7","9.4","Animation"
"-30.0-","1959","96","6.3","Drama"
"-But the Flesh Is Weak","1932","77","5.8","Comedy"
"...All the Marbles","1981","113","5.6","Action"
"...Almost","1990","84","5.3","Drama"
"...And Justice for All","1979","119","7","Drama"
"...Because She Disobeyed","1935","104","6","Comedy"
"...Belpaese, Il","1977","109","5.2","Comedy"
"...Comme elle respire","1998","106","6.1","Comedy"
"...Is It the Design on the Wrapper?","1997","8","2.6","Short"
"...Ja teeb trikke","1978","10","7.9","Animation"
"...Lost","2000","5","6.2","Short"
"...Maybe This Time","1980","96","5.7","Drama"
"...Po prozvishchu 'Zver'","1990","88","4.7","Action"
"...Quando Troveja","1999","92","4.6","Drama"
"...To Skin a Cat","2004","22","8.1","Comedy"
"...a zase ta Lucie!","1984","82","5.8","Comedy"
"...al fin, el mar","2005","95","5","Drama"
"...borgnes sont rois, Les","1974","15","8.3","Short"
"...dopo di che, uccide il maschio e lo divora","1971","96","6.1","Drama"
"...som havets nakna vind","1968","105","5.3","Drama"
"...tick...tick...tick...","1970","100","6","Action"
"...und das ist erst der Anfang","2000","95","5.9","Comedy"
"...ya no puede caminar.","2001","14","7.1","Short"
"00 Schneider - Jagd auf Nihil Baxter","1994","90","5.9","Comedy"
"002 agenti segretissimi","1964","83","3.6","Action"
"002 operazione Luna","1965","90","4.7","Comedy"
"6","1994","87","6.4","Drama"
"1/?","2004","117","6.3","Drama"
"07 con el 2 delante (Agente: Jaime Bonet)","1966","101","1.8","Comedy"
"0/?","1954","95","4.6","Drama"
"08/15 - In der Heimat","1955","96","4.2","Drama"
"08/15 - Zweiter Teil","1955","110","3.7","Drama"
"1 Giant Leap","2002","155","6.6","Documentary"
"1.0+1=3","1979","85","7.5","Comedy"
"1,000 Dollars a Minute","1935","70","6.2","Comedy"
